team,name,position,passing,rushing,receiving,date
BAL,Willie Snead,WR/RS,0,0,29,2020-09-10
BAL,Nick Boyle,TE,0,0,11,2020-09-10
HOU,Deshaun Watson,QB,275,17,0,2020-09-10
HOU,David Johnson,RB,0,34,16,2020-09-10
HOU,Brandin Cooks,WR,0,0,95,2020-09-10
HOU,Jordan Akins,TE,0,0,55,2020-09-10
HOU,Darren Fells,TE,0,0,23,2020-09-10
HOU,Will Fuller,WR,0,0,0,2020-09-10
KAN,Patrick Mahomes,QB,302,54,0,2020-09-10
KAN,Clyde Edwards-Helaire,RB,0,38,32,2020-09-10
KAN,Tyreek Hill,WR,0,9,99,2020-09-10
KAN,Mecole Hardman,WR,0,3,30,2020-09-10
KAN,Travis Kelce,TE,0,0,90,2020-09-10
KAN,Sammy Watkins,WR,0,0,11,2020-09-10
LAC,Justin Herbert,QB,311,18,0,2020-09-10
LAC,Austin Ekeler,RB,0,93,55,2020-09-10
LAC,Keenan Allen,WR,0,0,96,2020-09-10
LAC,Hunter Henry,TE,0,0,83,2020-09-10
NWE,Cam Newton,QB,397,47,0,2020-09-10
NWE,Sony Michel,RB,0,19,0,2020-09-10
NWE,N'Keal Harry,WR,0,0,72,2020-09-10
NWE,Ryan Izzo,TE,0,0,19,2020-09-10
NWE,Jakob Johnson,FB,0,0,1,2020-09-10
SEA,Russell Wilson,QB,288,39,0,2020-09-10
SEA,Chris Carson,RB,0,72,36,2020-09-10
SEA,D.K. Metcalf,WR,0,0,92,2020-09-10
SEA,Tyler Lockett,WR,0,0,67,2020-09-10
SEA,Will Dissly,TE,0,0,9,2020-09-10
SEA,Greg Olsen,TE,0,0,0,2020-09-10
NOR,Drew Brees,QB,312,0,0,2020-09-10
NOR,Alvin Kamara,RB,0,79,95,2020-09-10
NOR,Deonte Harris,WR/RS,0,11,23,2020-09-10
NOR,Tre'Quan Smith,WR,0,0,86,2020-09-10
NOR,Emmanuel Sanders,WR,0,0,18,2020-09-10
NOR,Jared Cook,TE,0,0,13,2020-09-10
LVR,Derek Carr,QB,284,3,0,2020-09-10
LVR,Josh Jacobs,RB,0,88,17,2020-09-10
LVR,Darren Waller,TE,0,0,105,2020-09-10
LVR,Bryan Edwards,WR,0,0,42,2020-09-10
LVR,Henry Ruggs III,WR,0,0,4,2020-09-10
LVR,Jason Witten,TE,0,0,3,2020-09-10
MIA,Ryan Fitzpatrick,QB,160,38,0,2020-09-10
MIA,Myles Gaskin,RB,0,66,29,2020-09-10
MIA,DeVante Parker,WR,0,0,69,2020-09-10
MIA,Mike Gesicki,TE,0,0,15,2020-09-10
MIA,Preston Williams,WR,0,0,7,2020-09-10
MIA,Durham Smythe,TE,0,0,7,2020-09-10
JAX,Gardner Minshew II,QB,275,22,0,2020-09-10
JAX,James Robinson,RB,0,46,83,2020-09-10
JAX,Laviska Shenault Jr.,WR,0,1,33,2020-09-10
JAX,Keelan Cole,WR,0,0,43,2020-09-10
JAX,Chris Conley,WR,0,0,34,2020-09-10
JAX,James O'Shaughnessy,TE,0,0,29,2020-09-10
CHI,Mitchell Trubisky,QB,128,45,0,2020-09-10
CHI,David Montgomery,RB,0,45,9,2020-09-10
CHI,Allen Robinson,WR,0,0,123,2020-09-10
CHI,Jimmy Graham,TE,0,0,60,2020-09-10
CHI,Demetrius Harris,TE,0,0,15,2020-09-10
ATL,Matt Ryan,QB,238,-1,0,2020-09-10
ATL,Todd Gurley,RB,0,80,2,2020-09-10
ATL,Calvin Ridley,WR,0,7,110,2020-09-10
ATL,Russell Gage,WR,0,0,26,2020-09-10
ATL,Luke Stocker,TE,0,0,6,2020-09-10
ATL,Keith Smith,FB,0,0,3,2020-09-10
LAR,Jared Goff,QB,321,4,0,2020-09-10
LAR,Darrell Henderson,RB,0,114,6,2020-09-10
LAR,Robert Woods,WR,0,30,74,2020-09-10
LAR,Cooper Kupp,WR,0,0,107,2020-09-10
LAR,Josh Reynolds,WR,0,0,60,2020-09-10
LAR,Tyler Higbee,TE,0,0,40,2020-09-10
BUF,Josh Allen,QB,311,8,0,2020-09-10
BUF,Devin Singletary,RB,0,71,50,2020-09-10
BUF,Isaiah McKenzie,WR,0,4,6,2020-09-10
BUF,Stefon Diggs,WR,0,0,49,2020-09-10
BUF,Tyler Kroft,TE,0,0,24,2020-09-10
BUF,John Brown,WR,0,0,0,2020-09-10
CIN,Joe Burrow,QB,312,-1,0,2020-09-10
CIN,Joe Mixon,HB,0,49,16,2020-09-10
CIN,Tee Higgins,WR,0,0,40,2020-09-10
CIN,Auden Tate,WR,0,0,29,2020-09-10
CIN,Cethan Carter,TE,0,0,1,2020-09-10
PHI,Carson Wentz,QB,225,65,0,2020-09-10
PHI,Miles Sanders,RB,0,95,12,2020-09-10
PHI,Zach Ertz,TE,0,0,70,2020-09-10
PHI,John Hightower,WR,0,0,19,2020-09-10
PHI,DeSean Jackson,WR,0,0,11,2020-09-10
PHI,Greg Ward,WR,0,-6,72,2020-09-10
TEN,Ryan Tannehill,QB,321,9,0,2020-09-10
TEN,Adam Humphries,WR,0,0,41,2020-09-10
TEN,Derrick Henry,RB,0,119,11,2020-09-10
TEN,Corey Davis,WR,0,0,69,2020-09-10
TEN,Jonnu Smith,TE,0,0,61,2020-09-10
MIN,Kirk Cousins,QB,251,14,0,2020-09-10
MIN,Dalvin Cook,RB,0,181,18,2020-09-10
MIN,Adam Thielen,WR,0,4,29,2020-09-10
MIN,Justin Jefferson,WR,0,0,175,2020-09-10
MIN,Kyle Rudolph,TE,0,0,11,2020-09-10
MIN,C.J. Ham,RB,0,0,11,2020-09-10
LVR,Derek Carr,QB,261,10,0,2020-09-10
LVR,Josh Jacobs,RB,0,71,12,2020-09-10
LVR,Bryan Edwards,WR,0,0,48,2020-09-10
LVR,Foster Moreau,TE,0,0,25,2020-09-10
LVR,Darren Waller,TE,0,0,9,2020-09-10
NWE,Cam Newton,QB,162,27,0,2020-09-10
NWE,Sony Michel,RB,0,117,23,2020-09-10
NWE,N'Keal Harry,WR,0,2,34,2020-09-10
NWE,Damiere Byrd,WR,0,0,27,2020-09-10
NWE,Jakob Johnson,FB,0,0,6,2020-09-10
NWE,Ryan Izzo,TE,0,0,0,2020-09-10
SFO,Nick Mullens,QB,343,0,0,2020-09-10
SFO,Jerick McKinnon,RB,0,38,39,2020-09-10
SFO,Brandon Aiyuk,WR,0,31,70,2020-09-10
SFO,Kendrick Bourne,WR,0,0,63,2020-09-10
SFO,Ross Dwelley,TE,0,0,49,2020-09-10
SFO,Kyle Juszczyk,FB,0,0,7,2020-09-10
NYG,Daniel Jones,QB,179,49,0,2020-09-10
NYG,Wayne Gallman,RB,0,7,7,2020-09-10
NYG,Darius Slayton,WR,0,0,53,2020-09-10
NYG,Golden Tate,WR,0,0,36,2020-09-10
NYG,Kaden Smith,TE,0,0,13,2020-09-10
NYG,C.J. Board,WR,0,0,9,2020-09-10
HOU,Deshaun Watson,QB,264,5,0,2020-09-10
HOU,David Johnson,RB,0,23,23,2020-09-10
HOU,Randall Cobb,WR,0,0,95,2020-09-10
HOU,Will Fuller,WR,0,0,54,2020-09-10
HOU,Brandin Cooks,WR,0,0,23,2020-09-10
HOU,Darren Fells,TE,0,0,0,2020-09-10
PIT,Ben Roethlisberger,QB,237,-3,0,2020-09-10
PIT,James Conner,RB,0,109,40,2020-09-10
PIT,Diontae Johnson,WR,0,9,0,2020-09-10
PIT,Eric Ebron,TE,0,0,52,2020-09-10
PIT,JuJu Smith-Schuster,WR,0,0,43,2020-09-10
PIT,Vance McDonald,TE,0,0,35,2020-09-10
WAS,Dwayne Haskins,QB,224,2,0,2020-09-10
WAS,J.D. McKissic,RB,0,15,37,2020-09-10
WAS,Isaiah Wright,WR,0,6,24,2020-09-10
WAS,Terry McLaurin,WR,0,3,83,2020-09-10
WAS,Dontrelle Inman,WR,0,0,38,2020-09-10
WAS,Logan Thomas,TE,0,0,31,2020-09-10
CLE,Baker Mayfield,QB,156,1,0,2020-09-10
CLE,Nick Chubb,RB,0,108,2,2020-09-10
CLE,Odell Beckham Jr.,WR,0,0,59,2020-09-10
CLE,Jarvis Landry,WR,0,0,36,2020-09-10
CLE,Austin Hooper,TE,0,0,25,2020-09-10
CLE,Harrison Bryant,TE,0,0,3,2020-09-10
NYJ,Sam Darnold,QB,168,20,0,2020-09-10
NYJ,Frank Gore,RB,0,57,5,2020-09-10
NYJ,Braxton Berrios,WR,0,0,64,2020-09-10
NYJ,Lawrence Cager,WR,0,0,35,2020-09-10
NYJ,Chris Herndon,TE,0,0,21,2020-09-10
NYJ,Chris Hogan,WR,0,0,0,2020-09-10
IND,Philip Rivers,QB,217,0,0,2020-09-10
IND,Jonathan Taylor,RB,0,59,3,2020-09-10
IND,T.Y. Hilton,WR,0,0,52,2020-09-10
IND,Zach Pascal,WR,0,0,34,2020-09-10
IND,Michael Pittman Jr.,WR,0,0,26,2020-09-10
CAR,Teddy Bridgewater,QB,235,12,0,2020-09-10
CAR,Mike Davis,RB,0,46,45,2020-09-10
